reference_id,source_type,evidence_family,included_in_primary_synthesis,doi,citation
53,primary_study,tactile_probe,yes,10.1088/0957-0233/10/8/304,"Kim B, Masuzawa T, Bourouina T. The vibroscanning method for the measurement of micro-hole profiles[J]. Measurement Science and Technology, 1999, 10(8): 697-705. DOI: 10.1088/0957-0233/10/8/304."
54,primary_study,tactile_probe,yes,10.1007/s005429900037,"Yamamoto M, Takeuchi H, Aoki S. Dimensional measurement of high aspect ratio micro structures with a resonating micro cantilever probe[J]. Microsystem Technologies, 2000, 6(5): 179-183. DOI: 10.1007/s005429900037."
55,primary_study,tactile_probe,yes,10.1016/S0007-8506(07)62140-4,"Schwenke H, WäldeIe F, Weiskirch C, Kunzmann H. Opto-tactile sensor for 2D and 3D measurement of small structures on coordinate measuring machines[J]. CIRP Annals, 2001, 50(1): 361-364. DOI: 10.1016/S0007-8506(07)62140-4."
56,primary_study,tactile_probe,yes,10.1088/0957-0233/18/2/S01,"Küng A, Meli F, Thalmann R. Ultraprecision micro-CMM using a low force 3D touch probe[J]. Measurement Science and Technology, 2007, 18(2): 319-327. DOI: 10.1088/0957-0233/18/2/S01."
57,primary_study,tactile_probe,yes,10.1088/0957-0233/20/8/084001,"Dai G, Bütefisch S, Pohlenz F, Danzebrink H U. A high precision micro/nano CMM using piezoresistive tactile probes[J]. Measurement Science and Technology, 2009, 20(8): 084001. DOI: 10.1088/0957-0233/20/8/084001."
58,primary_study,tactile_probe,yes,10.1299/jamdsm.4.995,"Murakami H, Katsuki A, Onikura H, et al. Development of a system for measuring micro hole accuracy using an optical fiber probe[J]. Journal of Advanced Mechanical Design, Systems, and Manufacturing, 2010, 4(5): 995-1004. DOI: 10.1299/jamdsm.4.995."
59,primary_study,tactile_probe,yes,10.1364/OE.18.002925,"Tan J, Wang F, Cui J. Fiber deflection probing method based on micro focal-length collimation[J]. Optics Express, 2010, 18(3): 2925-2933. DOI: 10.1364/OE.18.002925."
60,primary_study,tactile_probe,yes,10.1016/j.precisioneng.2012.12.008,"Claverley J D, Leach R K. Development of a three-dimensional vibrating tactile probe for miniature CMMs[J]. Precision Engineering, 2013, 37(2): 491-499. DOI: 10.1016/j.precisioneng.2012.12.008."
61,primary_study,tactile_probe,yes,10.1088/2051-672X/2/2/024002,"Xu M, Kirchhoff J, Brand U. Development of a traceable profilometer for high-aspect-ratio microstructures metrology[J]. Surface Topography: Metrology and Properties, 2014, 2(2): 024002. DOI: 10.1088/2051-672X/2/2/024002."
62,primary_study,tactile_probe,yes,10.1016/j.sna.2015.10.005,"Cui J, Bian X, He Z, Li L, Sun T. A 3D nano-resolution scanning probe for measurement of small structures with high aspect ratio[J]. Sensors and Actuators A: Physical, 2015, 235: 187-193. DOI: 10.1016/j.sna.2015.10.005."
63,primary_study,tactile_probe,yes,10.3390/app6050156,"Ito S, Kikuchi H, Chen Y, et al. A micro-coordinate measurement machine for large-scale dimensional measurement of micro-slits[J]. Applied Sciences, 2016, 6(5): 156. DOI: 10.3390/app6050156."
64,primary_study,tactile_probe,yes,10.1016/j.measurement.2016.04.023,"Elfurjani S, Ko J, Jun M B G. Micro-scale hole profile measurement using rotating wire probe and acoustic emission contact detection[J]. Measurement, 2016, 89: 215-222. DOI: 10.1016/j.measurement.2016.04.023."
65,primary_study,tactile_probe,yes,10.1364/OE.26.033523,"Chen Y, Cui J, Tan J. Spherical coupling probe for measuring inner dimensions of microstructures[J]. Optics Express, 2018, 26(26): 33523-33533. DOI: 10.1364/OE.26.033523."
66,primary_study,tactile_probe,yes,10.1088/1361-6501/ab46f0,"Fang C, Huang Q, Ding X, et al. Measurement and uncertainty evaluation of the microsphere used for micro-CMM probe[J]. Measurement Science and Technology, 2020, 31(2): 025004. DOI: 10.1088/1361-6501/ab46f0."
67,primary_study,tactile_probe,yes,10.1109/JSEN.2023.3330394,"He Y X, Lin R W, Li J, et al. Nanoprecision measurement of high-aspect-ratio microholes using sub-100-μm tungsten ball tip[J]. IEEE Sensors Journal, 2023, 23(24): 30893-30902. DOI: 10.1109/JSEN.2023.3330394."
68,primary_study,passive_endoscopic_vision,yes,10.3390/s18072243,"Wang D, Liu H, Cheng X. A miniature binocular endoscope with local feature matching and stereo matching for 3D measurement and 3D reconstruction[J]. Sensors, 2018, 18(7): 2243. DOI: 10.3390/s18072243."
69,primary_study,passive_endoscopic_vision,yes,10.1109/JSEN.2014.2328339,"Zhou F, Wang Y, Liu L, Cui Y, Gao H. Three-dimensional measurement approach in small FOV and confined space using an electronic endoscope[J]. IEEE Sensors Journal, 2014, 14(9): 3274-3282. DOI: 10.1109/JSEN.2014.2328339."
70,primary_study,passive_endoscopic_vision,yes,10.1016/j.compind.2022.103664,"Zhang D, Jackson W, Dobie G, West G, MacLeod C. Structure-from-motion based image unwrapping and stitching for small bore pipe inspections[J]. Computers in Industry, 2022, 139: 103664. DOI: 10.1016/j.compind.2022.103664."
71,primary_study,passive_endoscopic_vision,yes,10.1134/S1061830917090054,"Gorevoy A V, Machikhin A S, Khokhlov D D, et al. Applying a ray tracing model of an optoelectronic system to improve the accuracy of endoscopic measurements[J]. Russian Journal of Nondestructive Testing, 2017, 53(9): 660-668. DOI: 10.1134/S1061830917090054."
72,primary_study,passive_endoscopic_vision,yes,10.1364/JOSAA.36.001871,"Gorevoy A V, Machikhin A S, Khokhlov D D, Batshev V I. Modeling and optimization of a geometrical calibration procedure for stereoscopic video endoscopes[J]. Journal of the Optical Society of America A, 2019, 36(11): 1871-1881. DOI: 10.1364/JOSAA.36.001871."
73,primary_study,passive_endoscopic_vision,yes,10.1109/TIM.2020.2970372,"Yi Z, Chen Z, Jiang Z, Gui W. A novel 3-D high-temperature industrial endoscope with large field depth and wide field[J]. IEEE Transactions on Instrumentation and Measurement, 2020, 69(9): 6530-6543. DOI: 10.1109/TIM.2020.2970372."
74,primary_study,passive_endoscopic_vision,yes,10.1109/TIM.2025.3545538,"Guo W, Zhou F, Tan H, et al. Multidirectional stereo vision sensor with catadioptric units for measuring geometric parameters of pipeline inner walls[J]. IEEE Transactions on Instrumentation and Measurement, 2025, 74: 1-13. DOI: 10.1109/TIM.2025.3545538."
75,primary_study,active_optical_probe,yes,10.1016/j.optlaseng.2016.05.023,"Pösch A, Schlobohm J, Matthias S, Reithmeier E. Rigid and flexible endoscopes for three dimensional measurement of inside machine parts using fringe projection[J]. Optics and Lasers in Engineering, 2017, 89: 178-183. DOI: 10.1016/j.optlaseng.2016.05.023."
76,primary_study,active_optical_probe,yes,10.1515/teme-2016-0054,"Matthias S, Schlobohm J, Kästner M, Reithmeier E. Fringe projection profilometry using rigid and flexible endoscopes[J]. tm—Technisches Messen, 2017, 84(2): 123-129. DOI: 10.1515/teme-2016-0054."
77,primary_study,active_optical_probe,yes,10.1088/1361-6501/aad1e1,"Matthias S, Kästner M, Reithmeier E. A 3D measuring endoscope for hand-guided operation[J]. Measurement Science and Technology, 2018, 29(9): 094001. DOI: 10.1088/1361-6501/aad1e1."
78,primary_study,active_optical_probe,yes,10.3390/s19092084,"Hinz L, Kästner M, Reithmeier E. Metal forming tool monitoring based on a 3D measuring endoscope using CAD assisted registration[J]. Sensors, 2019, 19(9): 2084. DOI: 10.3390/s19092084."
79,primary_study,active_optical_probe,yes,10.1117/12.2583148,"Middendorf P, Hedrich K, Kästner M, Reithmeier E. Miniaturization of borescopic fringe projection systems for the inspection in confined spaces: A methodical analysis[C]//Proceedings of SPIE. 2021. DOI: 10.1117/12.2583148."
80,primary_study,active_optical_probe,yes,10.1364/AO.47.003868,"Albertazzi A G Jr, Hofmann A C, Fantin A V, Santos J M C. Photogrammetric endoscope for measurement of inner cylindrical surfaces using fringe projection[J]. Applied Optics, 2008, 47(21): 3868-3876. DOI: 10.1364/AO.47.003868."
